GEO_ID,NAME,S1901_C01_008E
06001,"Alameda County, California",11.5
06003,"Alpine County, California",8.6
06005,"Amador County, California",14.2
06007,"Butte County, California",11.4
06009,"Calaveras County, California",14.3
06011,"Colusa County, California",15.1
06013,"Contra Costa County, California",12.6
06015,"Del Norte County, California",10.5
06017,"El Dorado County, California",13
06019,"Fresno County, California",12
06021,"Glenn County, California",11.8
06023,"Humboldt County, California",11.7
06025,"Imperial County, California",12
06027,"Inyo County, California",12.5
06029,"Kern County, California",11.4
06031,"Kings County, California",13.7
06033,"Lake County, California",12.2
06035,"Lassen County, California",12.2
06037,"Los Angeles County, California",12.3
06039,"Madera County, California",13
06041,"Marin County, California",9.9
06043,"Mariposa County, California",13.8
06045,"Mendocino County, California",11.8
06047,"Merced County, California",12.7
06049,"Modoc County, California",11.2
06051,"Mono County, California",18.5
06053,"Monterey County, California",14.2
06055,"Napa County, California",13.1
06057,"Nevada County, California",13
06059,"Orange County, California",12.8
06061,"Placer County, California",12.9
06063,"Plumas County, California",14
06065,"Riverside County, California",13.1
06067,"Sacramento County, California",13.3
06069,"San Benito County, California",13.8
06071,"San Bernardino County, California",13.9
06073,"San Diego County, California",13
06075,"San Francisco County, California",9
06077,"San Joaquin County, California",13.1
06079,"San Luis Obispo County, California",13.3
06081,"San Mateo County, California",10.7
06083,"Santa Barbara County, California",12.6
06085,"Santa Clara County, California",9.9
06087,"Santa Cruz County, California",12.5
06089,"Shasta County, California",12.9
06091,"Sierra County, California",14.9
06093,"Siskiyou County, California",11.1
06095,"Solano County, California",14.6
06097,"Sonoma County, California",14.2
06099,"Stanislaus County, California",13.2
06101,"Sutter County, California",12.1
06103,"Tehama County, California",10.6
06105,"Trinity County, California",8.7
06107,"Tulare County, California",11.5
06109,"Tuolumne County, California",13
06111,"Ventura County, California",14
06113,"Yolo County, California",12
06115,"Yuba County, California",12.2
0100000US,United States,12.7
0400000US06,California,12.4
